,username,tweet_id,tweet_text,category,query,datetime_of_tweet,datetime_of_query,link,mentioned_location,location,image,org
10,ehenrawangpai,1759098201993609357,ไม่มีทางเท้า ดูก็รู้ว่าไม่มีแท็กซี่หยุดจอดแน่ ตอนนั้นแพนิคมากว่าถ้าอยู่ตรงนี้จะไม่มีรถมาจอดรับ มีเงินไปก็แทบไร้ประโยชน์ ยิ่งหลอนเข้าไปใหญ่ นี่ขนาดกทม.นะ ไม่น่าเชื่อว่าเรื่องแค่นี้ก็เป็นปมในใจคนคนหนึ่งได้,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""กรุงเทพ"" OR ""กทม"" OR ""ชัชชาติ"")",2024-02-18 6:11:08,2024-02-20 20:54:44,https://twitter.com/ehenrawangpai/status/1759098201993609357,,,[],
11,serenityEugene_,1759091409033028042,แต่อิเพจฟุตบาทไทยแล้นและลูกหาบยังด่าชัชชาติไม่เว้นวัน พร้อมอวยอิผู้ว่าเก่าไม่หยุด,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""กรุงเทพ"" OR ""กทม"" OR ""ชัชชาติ"")",2024-02-18 5:44:08,2024-02-20 20:54:44,https://twitter.com/serenityEugene_/status/1759091409033028042,,,[],
12,tarnwhan_cass,1759034523562762546,ฟุตบาทมอกรุงเทพจะใจดีกับข้อเท้าฉันมั้ย  ปลอกพยุงมาแล้วแหละ  เซฟไว้ก่อน,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""กรุงเทพ"" OR ""กทม"" OR ""ชัชชาติ"")",2024-02-18 1:58:06,2024-02-20 20:54:44,https://twitter.com/tarnwhan_cass/status/1759034523562762546,,,[],
13,creammimi2546,1758866683513786432,อยากให้กทมมาดุถนนปากซอยบ้านกูมาก แผงลอยใช้ฟุตบาทฉ่ำ ทางเดินแทบไม่มึ วันนี้เบียดจนหม้อข้าวแกงจะคว่ำใส่กุละ,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""กรุงเทพ"" OR ""กทม"" OR ""ชัชชาติ"")",2024-02-17 14:51:10,2024-02-20 20:54:44,https://twitter.com/creammimi2546/status/1758866683513786432,,,[],
14,bebuay,1758860105456697670,ฟุตบาธกรุงเทพแย่ขนาดยังเดินเที่ยวจอยๆได้ ถ้าแบบดีๆจะโคตรสนุกขนาดไหน อยากได้ทางเดินเท้าดีๆโว้ยยย,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""กรุงเทพ"" OR ""กทม"" OR ""ชัชชาติ"")",2024-02-17 14:25:01,2024-02-20 20:54:44,https://twitter.com/bebuay/status/1758860105456697670,,,[],
15,nyceslovespuppi,1758796534471422315,กทมไม่อภิรมย์ ค่าแรงถูกค่าครองชีพสูงลิ่ว ขนส่งสาธารณะแพง รถเมล์ก็รอดแหล่ไม่รอดแหล่ มาไม่ตรงเวลา รถติด ฝุ่นเยอะ  สวนสวยอยู่ในเมือง ใกล้บ้านมีสวนให้ไป แต่เดินไปไม่ได้เพราะไม่มีฟุตบาท ไม่มีpublic space มีแต่ที่เสียเงิน,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""กรุงเทพ"" OR ""กทม"" OR ""ชัชชาติ"")",2024-02-17 10:12:25,2024-02-20 20:54:44,https://twitter.com/nyceslovespuppi/status/1758796534471422315,,,[],
16,toptvthailand,1758781884572844268,"กทม.เดินหน้าจัดระเบียบผู้ค้า ควบปรับปรุงทางเท้าปากซอยอุดมสุข 1

https://topnews.co.th/news/899966
#TOPNEWS #TOPNEWSONLINE",ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""กรุงเทพ"" OR ""กทม"" OR ""ชัชชาติ"")",2024-02-17 9:14:12,2024-02-20 20:54:44,https://twitter.com/toptvthailand/status/1758781884572844268,,,[],
17,MatichonOnline,1758757113982280066,"โซเชียลแชร์ภาพ ถนนเป็น #ฟองสีขาว หลัง #ฝนตก เช้านี้ ผู้เชี่ยวชาญแจงแล้ว
.
17 กุมภาพันธ์ - จากกรณีที่มีฝนตกลงมาในช่วงเช้าของวันนี้ ในหลายพื้นที่ ของ #กรุงเทพ และ #ปริมณฑล อย่างไรก็ตาม ฝนที่ตกลงมานั้น มีหลายคนสังเกตว่า มีฟองขาวอยู่บริเวณถนน และ ริมทางเท้า ทำให้สงสัยว่าเกิดจากเหตุใด…",ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""กรุงเทพ"" OR ""กทม"" OR ""ชัชชาติ"")",2024-02-17 7:35:46,2024-02-20 20:54:44,https://twitter.com/MatichonOnline/status/1758757113982280066,,,['https://pbs.twimg.com/media/GGhVJPqbQAExKQd?format=jpg&name=small'],
18,sxicex,1758738008357138732,"ตอนทำงานอยู่ London กับ Oxford 
แทบจะไม่เสียค่าเดินทางเลยเพราะเน้นเดิน ฝนตก หิมะตก  ก็เน้นเดินเพราะ Walkable City 10 - 15 km ก็เดินได้

กรุงเทพก็เดินนะ แต่เดินแล้วรู้สึกเหม็นควันรถ เรื่องร้อนเข้าใจ แต่เรื่องมลภาวะและหลุมบนทางเดินนี่อยากให้แก้ไขจริงๆทุกเมืองเลย",ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""กรุงเทพ"" OR ""กทม"" OR ""ชัชชาติ"")",2024-02-17 6:19:51,2024-02-20 20:54:44,https://twitter.com/sxicex/status/1758738008357138732,,,[],
19,HBXGDA1,1758706831441154359,ทางเท้าแบบนี้ ทำให้พรมในรถสกปรกไปด้วย ขยาดมาก รองเท้าจะสกปรกไปด้วย กทม. ต้องจัดการร้านที่ตั้งขายริมถนน ให้จ่ายค่าทำความสะอาดด้วย,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""กรุงเทพ"" OR ""กทม"" OR ""ชัชชาติ"")",2024-02-17 4:15:58,2024-02-20 20:54:44,https://twitter.com/HBXGDA1/status/1758706831441154359,,,['https://pbs.twimg.com/media/GGguiuIbYAAgaMD?format=jpg&name=900x900'],
20,MatichonOnline,1758680770389168580,"วันนี้กทม.อากาศดีทุกเขต ทั่วประเทศ ยังเกินมาตรฐาน 35 จว.พบจุดความร้อนทั่วปท.1,583 จุด https://matichon.co.th/local/quality-life/news_4429476… 

ภาพรวมทั้งประเทศพบ 35 จังหวัดเกินค่ามาตรฐาน โดยมี 9  จังหวัดที่อยู่ในระดับสีแดงที่มีผลต่อสุขภาพและระบบทางเดินหายใจ  ได้แก่สุโขทัย 103.2 ไมโครกรัม ตามด้วยลำพูน 93.5…",ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""กรุงเทพ"" OR ""กทม"" OR ""ชัชชาติ"")",2024-02-17 2:32:25,2024-02-20 20:54:44,https://twitter.com/MatichonOnline/status/1758680770389168580,,,['https://pbs.twimg.com/media/GGgWnj2a0AAFTw9?format=jpg&name=small'],
21,sunflower_wits,1758658231491346699,"ตกใจ1 คือป้ายบนทางเท้าที่ไปรื้อถอนเพราะเป็นป้ายเถื่อน เอาจริงๆนี่นึกว่าเป็นป้ายของทางการ
ตกใจ2 : บางป้าย ติดตั้งในยุคสุขุมพันธ์ แต่รื้อถอนยุคชัชชาติ - สองยุคนี้มันห่างกันกี่ปีนะ??",ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""กรุงเทพ"" OR ""กทม"" OR ""ชัชชาติ"")",2024-02-17 1:02:51,2024-02-20 20:54:44,https://twitter.com/sunflower_wits/status/1758658231491346699,,,[],
22,IMNan111,1758511729934569809,คนกทม.เขาก็บอกว่าแก้แล้วมันดีนะขึ้นนะคะ ทั้งทางเท้าที่ทุบทิ้ง ทั้งอะไรเล็กๆ อันนี้ก็ไม่รู้จริงมากน้อยแค่ไหน เห็นเขาลงคลิปทุกวัน ทำไปทีละนิด,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""กรุงเทพ"" OR ""กทม"" OR ""ชัชชาติ"")",2024-02-16 15:20:42,2024-02-20 20:54:44,https://twitter.com/IMNan111/status/1758511729934569809,,,[],
23,nimdaex,1758462969527300314,ดักคอ โครงการกล้องอัจฉริยะ ที่อวยชัชชาติกันถึงสวรรค์ไว้ด้วยเลย จะใช้แค่กล้องจับมอเตอร์ไซค์วิ่งทางเท้า แต่ถ้าไม่ได้รับความร่วมมือจากตำรวจ มอเตอร์ไซค์ไม่มีทะเบียนวิ่งได้ทั่วไป .. พันล้านสูญเปล่า มีแต่ ฟองดู๋ แอบปิด ticket เอง แล้วเอามาอวยอกสื่อ,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""กรุงเทพ"" OR ""กทม"" OR ""ชัชชาติ"")",2024-02-16 12:06:57,2024-02-20 20:54:44,https://twitter.com/nimdaex/status/1758462969527300314,,,[],
24,coosooc_xc,1758380245256909109,กทม. ก็ทำงานดีขึ้นนะ โดยเฉพาะเรื่องทางเท้า ทางม้าลายคือเห็นชัดสุดแล้ว ส่วน pm 2.5 บทบาทใหญ่ๆคือ รบ. ต้องไปจัดการมั้ย แค่ลดการใช้รถบนถนนแถบ กทม. นี่ว่ายังไม่ถูกจุดจริงๆ,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""กรุงเทพ"" OR ""กทม"" OR ""ชัชชาติ"")",2024-02-16 6:38:14,2024-02-20 20:54:44,https://twitter.com/coosooc_xc/status/1758380245256909109,,,[],
25,koochim02,1758356239036318098,ฟุตบาทกรุงเทพเหี้ยมาก อึบาดๆๆๆ ฮือออ เจ็บเล็บตีน,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""กรุงเทพ"" OR ""กทม"" OR ""ชัชชาติ"")",2024-02-16 5:02:50,2024-02-20 20:54:44,https://twitter.com/koochim02/status/1758356239036318098,,,[],
26,series4e,1758351340735213954,ตามแหล่งท่องเที่ยวทั้งหลายเดี๋ยวนี้ มีนักท่องเที่ยวเยอะมากยืนสูบบุหรี่/พอตตรงริมถนน & ทางเดิน ว่อนไปหมดเลยค่ะ ควันฟุ้งราวกับมีครัวอยู่ตรงนั้น .. ททท./กทม. และผู้เกี่ยวข้อง น่าจะทำอะไรที่เข้มงวดมากกว่านี้นะฮะ .. @tatnewsthai @pr_bangkok @chadchart_trip @pr_moph https://twitter.com/prd_official/status/1758325427654078493…,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""กรุงเทพ"" OR ""กทม"" OR ""ชัชชาติ"")",2024-02-16 4:43:22,2024-02-20 20:54:44,https://twitter.com/series4e/status/1758351340735213954,,,[],
27,sirqurt,1758348094729777577,ผู้ว่าตจวเมื่อไหร่จะแก้ปัญหาทางเท้าแบบกทมบ้างเอ่ย บางทีแทบไม่มีพื้นที่ให้ก้คนเดิน พื้นดำสกปรก ยิ่งเทน้ำลงท่อทำให้ส่งกลิ่นเหม็นอีก,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""กรุงเทพ"" OR ""กทม"" OR ""ชัชชาติ"")",2024-02-16 4:30:28,2024-02-20 20:54:44,https://twitter.com/sirqurt/status/1758348094729777577,,,[],
28,nbt2hd,1758331446115389482,"#ฝุ่นกรุงเทพ สะสม PM 2.5 เกินมาตรฐาน 60 พื้นที่ กระทบสุขภาพ
5 เขตค่าฝุ่นสูงสุด “บางกะปิ-บึงกุ่ม-บางรัก-จตุจักร-บางพลัด”
สวมหน้ากากป้องกันทุกครั้งที่ออกนอกอาคาร
- เลี่ยงทำกิจกรรมกลางแจ้ง
- ผู้ที่มีโรคประจำตัว/ทางเดินหายใจ เฝ้าระวังสุขภาพเป็นพิเศษ
ที่มา: กทม.
#ฝุ่นพิษ #ฝุ่นPM25",ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""กรุงเทพ"" OR ""กทม"" OR ""ชัชชาติ"")",2024-02-16 3:24:19,2024-02-20 20:54:44,https://twitter.com/nbt2hd/status/1758331446115389482,,,"['https://pbs.twimg.com/media/GGbY-U-boAAI2Zn?format=jpg&name=360x360', 'https://pbs.twimg.com/media/GGbZADAbkAAm4jP?format=jpg&name=360x360']",
29,Green3Pp,1758264257140203551,"สงสัยพวกที่จะเป็นจะตายเรื่องฝุ่นpm2.5 ยุคของผู้ว่าอัศวิน

ตอนนี้ที่เขาเงียบเขาเป็นเพราะอะไร หรือว่าตีนอุดปาก เลือกมาเองเลยไม่ด่า

ทั้งที่มันเละเทะตั้งแต่ฟุตบาท แผงลอยกลับมายึดทางเท้า น้ำเน่าเสีย ฝุ่นเต็มเมือง 

บรรลัยขนาดนี้ แม่งกริบเชียว #ชัชชาติ @chadchart_trip",ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""กรุงเทพ"" OR ""กทม"" OR ""ชัชชาติ"")",2024-02-15 22:57:20,2024-02-20 20:54:44,https://twitter.com/Green3Pp/status/1758264257140203551,,,[],
30,mommynoze_31,1758165079110119796,ทางเท้าในกรุงเทพควรทำใหม่ทั้งหมด อิดอกบางทีก็ผุพัง ทรุดไม่ไหวละ,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""กรุงเทพ"" OR ""กทม"" OR ""ชัชชาติ"")",2024-02-15 16:23:14,2024-02-20 20:54:44,https://twitter.com/mommynoze_31/status/1758165079110119796,,,[],
31,kokomomocow,1758079399994564874,กทมทำไรบ้าง ศึกษาเรื่องอะไรมาสองปี ไม่เห็นอะไรเป็นรูปธรรมเลย รถติดโคตร ทางเดินเอาไว้ขายของ ฝุ่นก็เหมือนเดิม ถูกใจคน กทม ละเนอะ  #ฝุ่นกรุงเทพ,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""กรุงเทพ"" OR ""กทม"" OR ""ชัชชาติ"")",2024-02-15 10:42:47,2024-02-20 20:54:44,https://twitter.com/kokomomocow/status/1758079399994564874,,,[],
32,kokomomocow,1757936305802260945,ฝุ่น รถติด รถเมย์ควันดำ ทางเท้าขายของ แก้ตอนไหนท่านศึกษามาสองปีเรื่องอะไรบ้าง เก่งจริงๆตอนหาเสียง #pm25 อยากหัวคน กทม,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""กรุงเทพ"" OR ""กทม"" OR ""ชัชชาติ"")",2024-02-15 1:14:10,2024-02-20 20:54:44,https://twitter.com/kokomomocow/status/1757936305802260945,,,[],
33,rainbow39056,1757930220009742603,"นี่งง กับคนกทม.มาก เค้าชินกับPM 2.5 ได้ไง เราขึ้นจากตจว.ไปกทม. แทบจะตาย คงเพราะเป็นโรคภูมิแพ้ด้วยแหละมััง ที่ไวต่อระบบทางเดินหายใจ 
คืออากาศกทม.ไม่ไหวเลยนะ ทำกิจกรรมกลางแจ้ง แทบจะสยองขวัญกลัวเป็นมะเร็งปอด #ฝุ่นพิษ",ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""กรุงเทพ"" OR ""กทม"" OR ""ชัชชาติ"")",2024-02-15 0:49:59,2024-02-20 20:54:44,https://twitter.com/rainbow39056/status/1757930220009742603,,,[],
34,solmemoir,1757662457781539237,แดงทั้งประเทศแต่ esp คนกรุงเทพ ใส่หน้ากากเถอะ นี่ขึ้นไปกมม.แต่ละครั้งเห็นหมอกหนาทุกครั้ง สงสารปอด ทางเดินหายใจ ความสวยเอาไว้ก่อน โรคเรื้อรังมันทรมาน ใส่เถอะ กราบ,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""กรุงเทพ"" OR ""กทม"" OR ""ชัชชาติ"")",2024-02-14 7:06:00,2024-02-20 20:54:44,https://twitter.com/solmemoir/status/1757662457781539237,,,['https://pbs.twimg.com/media/GGQv8xlbgAAu8B8?format=jpg&name=small'],
35,yingkjnnnnnnnnn,1757630963562188874,"เข้าใจว่า กทม คืนพื้นที่ฟุตบาทให้ประชาชน แต่ประชาชนที่ทำงานอยู่สนามเป้ากว่า1,500ชีวิต++ และคนไข้ รพ.พญาไท2 ไม่มีข้าวกินค่ะ เพราะร้านอาหารโดนไล่ที่หมด ขอเปลี่ยนจากยกเลิกร้านค้าทั้งหมด เป็นให้ตั้งได้แค่ จ-ศ วันเว้นวันก็ยังดี",ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""กรุงเทพ"" OR ""กทม"" OR ""ชัชชาติ"")",2024-02-14 5:00:51,2024-02-20 20:54:44,https://twitter.com/yingkjnnnnnnnnn/status/1757630963562188874,,,[],
36,nbt2hd,1757601062800998460,"กรุงเทพฯ #ฝุ่นพิษ PM 2.5 พุ่งเกินมาตรฐาน 67 พื้นที่ กระทบสุขภาพ
17 พื้นที่อยู่ในระดับสีแดง “เขตลาดกระบัง-หนองแขม-บางเขน-ประเวศ-บางพลัด”ติดอันดับค่า #ฝุ่น สูงสุด
สวมหน้ากากทุกครั้งที่ออกนอกอาคาร
- เฝ้าระวังสุขภาพเป็นพิเศษโดยเฉพาะผู้ที่มีโรคประจำตัว/ระบบทางเดินหายใจ
ที่มา: กทม.",ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""กรุงเทพ"" OR ""กทม"" OR ""ชัชชาติ"")",2024-02-14 3:02:02,2024-02-20 20:54:44,https://twitter.com/nbt2hd/status/1757601062800998460,,,['https://pbs.twimg.com/media/GGRATUwaEAAIuo_?format=jpg&name=small'],
37,Kaorusama_S,1757500150355018081,คนกทม.เค้าไม่ได้เดือดร้อนเรื่องขบวนเสด็จหรอก เค้าเดือดร้อนเรื่องทางเท้าไม่มีที่ให้เดินมากกว่า,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""กรุงเทพ"" OR ""กทม"" OR ""ชัชชาติ"")",2024-02-13 20:21:03,2024-02-20 20:54:44,https://twitter.com/Kaorusama_S/status/1757500150355018081,,,[],
38,sn_inmymind,1757373357761364329,ฟุตบาทกทม.จะเลิกอุ฿ กี่โมง ล่าสุดกลางฟุตบาทแถวบ้านนี่ใครมาเปิดฝาท่อแบบปูนเผยอขึ้นมาครึ่งนึง นี่มองทางดีแล้วก็ยังสะดุดอยู่ดี โคตรเจ็บอิเหี้ยยยย,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""กรุงเทพ"" OR ""กทม"" OR ""ชัชชาติ"")",2024-02-13 11:57:13,2024-02-20 20:54:44,https://twitter.com/sn_inmymind/status/1757373357761364329,,,[],
39,bee_1800,1757353256496320834,New post added at กทม.สำรวจสภาพถนน-ทางเท้า-ไฟฟ้าทุก 2 สัปดาห์ ตรวจสอบอุปกรณ์จราจรลดปัจจัยเสี่ยงต่อผู้ใช้เส้นท...,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""กรุงเทพ"" OR ""กทม"" OR ""ชัชชาติ"")",2024-02-13 10:37:21,2024-02-20 20:54:44,https://twitter.com/bee_1800/status/1757353256496320834,,,[],
40,ThuyRath,1757348008000364759,มันเป็นที่โครงสร้างครับ ถ้า กทม ใช้กฎหมายกับพวกทิ้งขยะไม่เป็นที่และไล่จับพวกที่ขายของบนทางเท้า จะไม่มีปัญหาเรื่องเก็บขยะเลยครับ และความไม่เป็นระเบียบ ทีนี้เดือดร้อนเลยนะครับ ย้อนแย้งไปหมด,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""กรุงเทพ"" OR ""กทม"" OR ""ชัชชาติ"")",2024-02-13 10:16:29,2024-02-20 20:54:44,https://twitter.com/ThuyRath/status/1757348008000364759,,,[],
41,harshtag007,1757343391560704143,"แจ้งปัญหาผ่าน Traffy fondue ติดตามผลการร้องเรียนได้, food hawker หลายๆที่ในกทม. , จัดระเบียบทางเท้า คืนพื้นที่ให้สาธารณะ, อีเว้น 12 เดือน ฯลฯ นี่แบบคิดขึ้นมาไวๆไม่เปิดกูเกิลเลยนะ",ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""กรุงเทพ"" OR ""กทม"" OR ""ชัชชาติ"")",2024-02-13 9:58:09,2024-02-20 20:54:44,https://twitter.com/harshtag007/status/1757343391560704143,,,[],
